employee_id,name,department,salary,age,years_experience,performance_score,city,hire_date,remote_work
EMP0311,Employee_311,Marketing,91522.66044484236,49.0,9,4,Chicago,2012-07-19,No
EMP0391,Employee_391,,70457.25648350263,51.0,19,5,New York,2013-03-16,no
EMP0007,Employee_7,Engineering,58595.335859587154,62.0,3,2,Austin,2010-01-19,Yes
EMP0185,Employee_185,Sales,85368.36758379103,38.0,13,3,Seattle,2011-07-07,No
EMP0079,Employee_79,Sales,82753.4390061834,34.0,1,2,Seattle,2010-08-23,no
EMP0408,Employee_408,Engineering,59465.02848359381,36.0,14,2,,2013-05-06,YES
EMP0099,Employee_99,Engineering,69872.98509431393,62.0,14,3,,2010-10-22,N/A
EMP0488,Employee_488,Sales,,,14,3,Boston,2014-01-01,YES
EMP0118,Employee_118,Engineering,96259.38473381141,31.0,15,4,Chicago,2010-12-18,YES
EMP0138,Employee_138,Finance,96411.97337186319,47.0,3,4,San Francisco,2011-02-16,yes
EMP0011,Employee_11,Engineering,50737.30941818245,30.0,15,4,Boston,2010-01-31,Yes
EMP0462,Employee_462,HR,472765.0069955447,150.0,16,4,Boston,2013-10-15,YES
EMP0076,Employee_76,Finance,85705.27103943458,57.0,,2,Boston,2010-08-14,
EMP0440,Employee_440,Engineering,114067.68954235403,37.0,5,5,San Francisco,2013-08-10,YES
EMP0480,Employee_480,Marketing,,,4,1,Chicago,2013-12-08,yes
EMP0141,Employee_141,,52449.151242336746,50.0,11,5,,2011-02-25,Yes
EMP0003,Employee_3,Finance,104008.476763721,35.0,16,4,Seattle,2010-01-07,No
EMP0156,Employee_156,Sales,62405.86290684764,43.0,3,1,,2011-04-11,
EMP0377,Employee_377,Operations,136201.69076537588,61.0,8,5,Austin,2013-02-02,Yes
EMP0132,Employee_132,Sales,65448.89510402898,54.0,6,3,New York,2011-01-29,
EMP0072,Employee_72,Engineering,64295.153551612515,51.0,7,1,Austin,2010-08-02,Yes
EMP0281,Employee_281,Operations,79900.45565158289,37.0,3,4,Austin,2012-04-20,N/A
EMP0292,Employee_292,Engineering,120045.40886847246,33.0,2,5,Boston,2012-05-23,Yes
EMP0282,Employee_282,Sales,115079.85977165378,25.0,0,4,,2012-04-23,N/A
EMP0334,Employee_334,Engineering,83861.08752557865,23.0,13,3,Chicago,2012-09-26,no
EMP0288,Employee_288,Marketing,77571.18268008417,63.0,1,2,Boston,2012-05-11,No
EMP0251,Employee_251,Sales,101463.41167923828,34.0,11,4,Austin,2012-01-21,Yes
EMP0465,Employee_465,,318842.9736787618,,12,1,Austin,2013-10-24,Yes
EMP0437,Employee_437,Engineering,130977.962472385,59.0,2,5,Chicago,2013-08-01,
EMP0064,Employee_64,Sales,63815.729562220964,26.0,13,3,Seattle,2010-07-09,YES
EMP0253,Employee_253,Operations,59200.782005178924,43.0,15,3,Chicago,2012-01-27,No
EMP0056,Employee_56,Operations,84346.10503811814,34.0,16,5,Boston,2010-06-15,Yes
EMP0375,Employee_375,Engineering,73487.24347524453,26.0,2,4,San Francisco,2013-01-27,N/A
EMP0339,Employee_339,Marketing,88417.30876255884,60.0,19,5,Chicago,2012-10-11,no
EMP0031,Employee_31,HR,116023.03951045046,27.0,1,3,Chicago,2010-04-01,Yes
EMP0074,Employee_74,Operations,61042.44214822303,52.0,1,4,Seattle,2010-08-08,N/A
EMP0333,Employee_333,Engineering,77727.75575572289,57.0,3,3,San Francisco,2012-09-23,no
EMP0069,Employee_69,Engineering,74394.84763255119,31.0,8,4,New York,2010-07-24,Yes
EMP0010,Employee_10,Finance,75616.4869579059,50.0,18,4,Boston,2010-01-28,N/A
EMP0080,Employee_80,Engineering,80580.60800933554,50.0,15,4,Austin,2010-08-26,yes
EMP0102,Employee_102,HR,63369.0399277121,49.0,18,5,New York,2010-10-31,No
EMP0105,Employee_105,Operations,84840.54717366766,58.0,,3,Boston,2010-11-09,no
EMP0278,Employee_278,HR,74131.5045773247,28.0,19,2,Boston,2012-04-11,
EMP0133,Employee_133,Engineering,86986.64610858452,27.0,16,2,Seattle,2011-02-01,
EMP0439,Employee_439,Finance,76089.94957198456,44.0,19,5,San Francisco,2013-08-07,No
EMP0326,Employee_326,Finance,83065.73776259215,49.0,17,5,Austin,2012-09-02,Yes
EMP0073,Employee_73,Engineering,73927.01389305636,60.0,15,3,Chicago,2010-08-05,no
EMP0229,Employee_229,Operations,133915.0395923365,45.0,17,2,Boston,2011-11-16,YES
EMP0358,Employee_358,HR,85521.82100421668,58.0,17,2,,2012-12-07,no
EMP0078,Employee_78,Engineering,89279.59821468443,35.0,4,5,Boston,2010-08-20,YES
EMP0286,Employee_286,Engineering,43532.195351837014,24.0,8,5,Austin,2012-05-05,No
EMP0091,Employee_91,Engineering,96531.13926111533,55.0,11,2,Boston,2010-09-28,yes
